case_id,date,channel,agent_name,team,product_category,survey_score,survey_comment,conversation_transcript,qa_notes,resolution_status,escalation_status,human_label,human_root_cause
C0073,2026-03-11,Voice,Agent F,NA Chat,Camera,1,Very poor service,"Customer: I need help with my Gimbal issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent advised the customer that a free replacement was available, but the policy does not support replacement for this scenario. Customer: This is not helpful at all.",Potential handling issue observed: Incorrect Information.,Resolved,Escalated to Policy Team,Agent-Driven DSAT,Incorrect Information
C0074,2026-02-12,Chat,Agent A,NA Email,Camera,2,Poor,Customer: Not satisfied. Agent: Thank you for contacting support.,Insufficient context to validate agent accountability.,Resolved,Escalated to Repair Center,Needs QA Validation,Insufficient Information
C0075,2026-02-12,Voice,Agent E,APAC Chat,Camera,2,Too much delay,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was frustrated because the product failed after normal use. The agent followed the troubleshooting flow correctly. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Product Issue.,Pending Backend,Escalated to Tier 2,Non-Agent-Driven DSAT,Product Issue
C0076,2026-03-30,Voice,Agent E,NA Chat,Drone,2,Policy is unfair,"Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The agent explained that the warranty period had expired and offered the correct paid repair option, but the customer disagreed with the policy. Customer: I still do not agree with this outcome.",Agent followed process. Main driver appears to be Policy Limitation.,Resolved,Escalated to Repair Center,Non-Agent-Driven DSAT,Policy Limitation
C0077,2026-03-14,Voice,Agent E,APAC Chat,Drone,2,I felt ignored,"Customer: I need help with my Camera issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent advised the customer that a free replacement was available, but the policy does not support replacement for this scenario. Customer: This is not helpful at all.",Potential handling issue observed: Incorrect Information.,Pending Customer,Escalated to Repair Center,Agent-Driven DSAT,Incorrect Information
C0078,2026-01-07,Email,Agent C,NA Chat,Online Store,1,Product issue not solved,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was frustrated because the product failed after normal use. The agent followed the troubleshooting flow correctly. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Product Issue.,Unresolved,No Escalation,Non-Agent-Driven DSAT,Product Issue
C0079,2026-03-28,Voice,Agent D,NA Chat,Repair Service,2,Still unresolved,"Customer: This is my third contact. Agent: Let me check your previous case. There was a business limitation, but the agent could have provided clearer alternatives and expectation setting. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Incomplete Resolution.,Unresolved,Escalated to Repair Center,Mixed Accountability,Incomplete Resolution
C0080,2026-03-21,Voice,Agent D,NA Email,Battery,2,Too much delay,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was frustrated because the product failed after normal use. The agent followed the troubleshooting flow correctly. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Product Issue.,Resolved,Escalated to Policy Team,Non-Agent-Driven DSAT,Product Issue
C0081,2026-01-05,Voice,Agent A,NA Chat,Gimbal,2,Too much delay,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The system did not generate a label due to an outage. The agent acknowledged the problem and escalated the case. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be System Issue.,Resolved,Escalated to Repair Center,Non-Agent-Driven DSAT,System Issue
C0082,2026-01-26,Chat,Agent E,Repair Voice,Repair Service,2,Policy is unfair,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was unhappy about an additional import fee/tariff. The agent explained that the charge was outside support control. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Pricing or Tariff Concern.,Pending Customer,Escalated to Policy Team,Non-Agent-Driven DSAT,Pricing or Tariff Concern
C0083,2026-01-23,Email,Agent D,NA Chat,Battery,1,Product issue not solved,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The system did not generate a label due to an outage. The agent acknowledged the problem and escalated the case. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be System Issue.,Resolved,Escalated to Policy Team,Non-Agent-Driven DSAT,System Issue
C0084,2026-03-24,Chat,Agent A,Repair Voice,Online Store,2,Agent did not help me,Customer: I need help with my Drone issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent promised a callback within 24 hours but there was no follow-up recorded. Customer: This is not helpful at all.,Potential handling issue observed: Failure to Follow Up.,Escalated,No Escalation,Agent-Driven DSAT,Failure to Follow Up
C0085,2026-03-07,Chat,Agent A,APAC Chat,Battery,1,Too much delay,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was unhappy about an additional import fee/tariff. The agent explained that the charge was outside support control. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Pricing or Tariff Concern.,Pending Customer,No Escalation,Non-Agent-Driven DSAT,Pricing or Tariff Concern
C0086,2026-03-14,Voice,Agent B,NA Chat,Battery,2,Policy is unfair,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was unhappy about an additional import fee/tariff. The agent explained that the charge was outside support control. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Pricing or Tariff Concern.,Escalated,Escalated to Tier 2,Non-Agent-Driven DSAT,Pricing or Tariff Concern
C0087,2026-01-01,Voice,Agent E,Repair Voice,Repair Service,1,Bad support experience,Customer: I need help with my Gimbal issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The customer repeatedly expressed frustration but the agent responded with generic scripted lines and did not acknowledge the inconvenience. Customer: This is not helpful at all.,Potential handling issue observed: Lack of Empathy.,Pending Customer,Escalated to Repair Center,Agent-Driven DSAT,Lack of Empathy
C0088,2026-01-07,Email,Agent B,APAC Chat,Repair Service,1,Price is too high,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The repair center backlog caused a long waiting time. The agent checked the case and provided the latest available update. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Repair Delay.,Resolved,Escalated to Tier 2,Non-Agent-Driven DSAT,Repair Delay
C0089,2026-02-11,Chat,Agent E,NA Chat,Camera,1,Price is too high,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was frustrated because the product failed after normal use. The agent followed the troubleshooting flow correctly. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Product Issue.,Pending Backend,Escalated to Repair Center,Non-Agent-Driven DSAT,Product Issue
C0090,2026-02-22,Voice,Agent F,APAC Chat,Repair Service,1,Still unresolved,"Customer: This is my third contact. Agent: Let me check your previous case. The current agent handled the concern properly, but a previous promised callback was missed, causing continued dissatisfaction. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Previous Case Issue.,Pending Customer,No Escalation,Mixed Accountability,Previous Case Issue
C0091,2026-01-03,Email,Agent C,Repair Voice,Drone,2,No stock available,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was frustrated because the product failed after normal use. The agent followed the troubleshooting flow correctly. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Product Issue.,Unresolved,Escalated to Tier 2,Non-Agent-Driven DSAT,Product Issue
C0092,2026-03-28,Email,Agent D,NA Chat,Repair Service,2,Agent did not help me,"Customer: I need help with my Online Store issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Resolved,Escalated to Repair Center,Agent-Driven DSAT,Weak Probing
C0093,2026-01-19,Voice,Agent D,NA Chat,Online Store,1,Agent did not help me,Customer: I need help with my Drone issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent promised a callback within 24 hours but there was no follow-up recorded. Customer: This is not helpful at all.,Potential handling issue observed: Failure to Follow Up.,Resolved,Escalated to Repair Center,Agent-Driven DSAT,Failure to Follow Up
C0094,2026-03-24,Voice,Agent D,Repair Voice,Repair Service,2,Bad support experience,"Customer: I need help with my Repair Service issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Escalated,Escalated to Repair Center,Agent-Driven DSAT,Weak Probing
C0095,2026-03-22,Email,Agent F,Repair Voice,Gimbal,2,Policy is unfair,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. Replacement stock was not available. The agent explained the situation and offered to notify the customer once available. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Stock Unavailability.,Escalated,No Escalation,Non-Agent-Driven DSAT,Stock Unavailability
C0096,2026-01-19,Email,Agent A,NA Email,Drone,1,Bad,Customer: Not satisfied. Agent: Thank you for contacting support.,Insufficient context to validate agent accountability.,Unresolved,Escalated to Policy Team,Needs QA Validation,Insufficient Information
C0097,2026-03-24,Voice,Agent F,NA Email,Repair Service,1,Price is too high,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. Replacement stock was not available. The agent explained the situation and offered to notify the customer once available. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Stock Unavailability.,Escalated,Escalated to Policy Team,Non-Agent-Driven DSAT,Stock Unavailability
C0098,2026-03-10,Chat,Agent D,NA Chat,Battery,1,Policy is unfair,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The system did not generate a label due to an outage. The agent acknowledged the problem and escalated the case. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be System Issue.,Pending Customer,Escalated to Tier 2,Non-Agent-Driven DSAT,System Issue
C0099,2026-02-27,Email,Agent F,NA Email,Battery,2,Support process is confusing,"Customer: This is my third contact. Agent: Let me check your previous case. The current agent handled the concern properly, but a previous promised callback was missed, causing continued dissatisfaction. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Previous Case Issue.,Pending Backend,Escalated to Policy Team,Mixed Accountability,Previous Case Issue
C0100,2026-02-04,Email,Agent C,NA Chat,Gimbal,1,No comment,Customer: Not satisfied. Agent: Thank you for contacting support.,Insufficient context to validate agent accountability.,Pending Backend,Escalated to Tier 2,Needs QA Validation,Insufficient Information
C0101,2026-01-03,Email,Agent D,NA Chat,Battery,2,Too much delay,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was frustrated because the product failed after normal use. The agent followed the troubleshooting flow correctly. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Product Issue.,Unresolved,Escalated to Policy Team,Non-Agent-Driven DSAT,Product Issue
C0102,2026-01-09,Chat,Agent F,Repair Voice,Camera,1,Bad support experience,Customer: I need help with my Online Store issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent transferred the customer without explaining the next step and did not summarize the issue. Customer: This is not helpful at all.,Potential handling issue observed: Poor Ownership.,Escalated,Escalated to Tier 2,Agent-Driven DSAT,Poor Ownership
C0103,2026-02-27,Email,Agent F,Repair Voice,Battery,1,Price is too high,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was unhappy about an additional import fee/tariff. The agent explained that the charge was outside support control. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Pricing or Tariff Concern.,Resolved,Escalated to Policy Team,Non-Agent-Driven DSAT,Pricing or Tariff Concern
C0104,2026-01-03,Chat,Agent F,APAC Chat,Drone,2,Too much delay,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The system did not generate a label due to an outage. The agent acknowledged the problem and escalated the case. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be System Issue.,Escalated,Escalated to Policy Team,Non-Agent-Driven DSAT,System Issue
C0105,2026-01-02,Email,Agent C,APAC Chat,Battery,1,Very poor service,"Customer: I need help with my Battery issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Pending Backend,No Escalation,Agent-Driven DSAT,Weak Probing
C0106,2026-01-21,Email,Agent E,NA Chat,Gimbal,1,Agent did not help me,"Customer: I need help with my Repair Service issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Pending Customer,No Escalation,Agent-Driven DSAT,Weak Probing
C0107,2026-02-12,Voice,Agent E,Repair Voice,Battery,1,Not satisfied,Customer: Not satisfied. Agent: Thank you for contacting support.,Insufficient context to validate agent accountability.,Pending Customer,Escalated to Policy Team,Needs QA Validation,Insufficient Information
C0108,2026-03-14,Chat,Agent B,APAC Chat,Online Store,1,I had to repeat myself,"Customer: This is my third contact. Agent: Let me check your previous case. The customer was impacted by process delay and the current agent also did not clearly explain the escalation timeline. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Escalation Mishandling.,Resolved,Escalated to Policy Team,Mixed Accountability,Escalation Mishandling
C0109,2026-04-01,Email,Agent C,Repair Voice,Battery,1,Bad support experience,"Customer: I need help with my Camera issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent advised the customer that a free replacement was available, but the policy does not support replacement for this scenario. Customer: This is not helpful at all.",Potential handling issue observed: Incorrect Information.,Pending Customer,No Escalation,Agent-Driven DSAT,Incorrect Information
C0110,2026-03-14,Email,Agent B,Repair Voice,Gimbal,1,Agent did not help me,"Customer: I need help with my Online Store issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Unresolved,Escalated to Tier 2,Agent-Driven DSAT,Weak Probing
C0111,2026-02-05,Voice,Agent B,APAC Chat,Online Store,2,Policy is unfair,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The repair center backlog caused a long waiting time. The agent checked the case and provided the latest available update. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Repair Delay.,Unresolved,Escalated to Repair Center,Non-Agent-Driven DSAT,Repair Delay
C0112,2026-01-18,Voice,Agent A,NA Chat,Gimbal,2,Support process is confusing,"Customer: This is my third contact. Agent: Let me check your previous case. The current agent handled the concern properly, but a previous promised callback was missed, causing continued dissatisfaction. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Previous Case Issue.,Escalated,Escalated to Tier 2,Mixed Accountability,Previous Case Issue
C0113,2026-02-18,Email,Agent C,NA Chat,Repair Service,1,Agent did not help me,Customer: I need help with my Gimbal issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The customer repeatedly expressed frustration but the agent responded with generic scripted lines and did not acknowledge the inconvenience. Customer: This is not helpful at all.,Potential handling issue observed: Lack of Empathy.,Pending Backend,Escalated to Policy Team,Agent-Driven DSAT,Lack of Empathy
C0114,2026-01-15,Email,Agent C,Repair Voice,Online Store,1,Very poor service,"Customer: I need help with my Online Store issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Escalated,Escalated to Policy Team,Agent-Driven DSAT,Weak Probing
C0115,2026-01-12,Chat,Agent F,APAC Chat,Camera,2,Price is too high,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was unhappy about an additional import fee/tariff. The agent explained that the charge was outside support control. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Pricing or Tariff Concern.,Resolved,Escalated to Policy Team,Non-Agent-Driven DSAT,Pricing or Tariff Concern
C0116,2026-01-10,Email,Agent A,NA Email,Battery,1,I felt ignored,Customer: I need help with my Gimbal issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent promised a callback within 24 hours but there was no follow-up recorded. Customer: This is not helpful at all.,Potential handling issue observed: Failure to Follow Up.,Unresolved,Escalated to Policy Team,Agent-Driven DSAT,Failure to Follow Up
C0117,2026-03-07,Chat,Agent A,Repair Voice,Camera,1,Bad support experience,Customer: I need help with my Drone issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent promised a callback within 24 hours but there was no follow-up recorded. Customer: This is not helpful at all.,Potential handling issue observed: Failure to Follow Up.,Resolved,Escalated to Repair Center,Agent-Driven DSAT,Failure to Follow Up
C0118,2026-01-07,Email,Agent D,NA Chat,Camera,1,No stock available,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The repair center backlog caused a long waiting time. The agent checked the case and provided the latest available update. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Repair Delay.,Pending Backend,Escalated to Tier 2,Non-Agent-Driven DSAT,Repair Delay
C0119,2026-02-07,Chat,Agent A,NA Email,Repair Service,1,Support process is confusing,"Customer: This is my third contact. Agent: Let me check your previous case. The customer was impacted by process delay and the current agent also did not clearly explain the escalation timeline. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Escalation Mishandling.,Resolved,No Escalation,Mixed Accountability,Escalation Mishandling
C0120,2026-01-03,Voice,Agent F,APAC Chat,Gimbal,1,Bad support experience,"Customer: I need help with my Camera issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent advised the customer that a free replacement was available, but the policy does not support replacement for this scenario. Customer: This is not helpful at all.",Potential handling issue observed: Incorrect Information.,Pending Customer,Escalated to Policy Team,Agent-Driven DSAT,Incorrect Information
